yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
1970,ATL,29.991361043194782,NL,ATL,162,736,76,86,4.54320987654321,0.4691358024691358
1970,BAL,29.18844458438287,AL,BAL,162,792,108,54,4.888888888888889,0.6666666666666666
1970,BOS,26.923745173745175,AL,BOS,162,786,87,75,4.851851851851852,0.5370370370370371
1970,CAL,27.32109181141439,AL,ANA,162,631,86,76,3.8950617283950617,0.5308641975308642
1970,CHA,27.50370004933399,AL,CHW,162,633,56,106,3.9074074074074074,0.345679012345679
1970,CHN,30.474488137796556,NL,CHC,162,806,84,78,4.9753086419753085,0.5185185185185185
1970,CIN,26.30743024010383,NL,CIN,162,775,102,60,4.783950617283951,0.6296296296296297
1970,CLE,26.87450396825397,AL,CLE,162,649,76,86,4.006172839506172,0.4691358024691358
1970,DET,29.789077828646175,AL,DET,162,666,79,83,4.111111111111111,0.4876543209876543
1970,HOU,27.049663569368793,NL,HOU,162,744,79,83,4.592592592592593,0.4876543209876543
1970,KCA,26.704534212695794,AL,KCR,162,611,65,97,3.771604938271605,0.4012345679012346
1970,LAN,28.433853078283235,NL,LAD,161,749,87,74,4.6521739130434785,0.5403726708074534
1970,MIN,29.338225593667545,AL,MIN,162,744,98,64,4.592592592592593,0.6049382716049383
1970,ML4,29.628901734104048,AL,MIL,163,613,65,97,3.7607361963190185,0.4012345679012346
1970,MON,28.520833333333332,NL,WSN,162,687,73,89,4.2407407407407405,0.4506172839506173
1970,NYA,27.23882295561697,AL,NYY,163,680,93,69,4.171779141104294,0.5740740740740741
1970,NYN,27.089662957587485,NL,NYM,162,695,83,79,4.290123456790123,0.5123456790123457
1970,OAK,27.912632625994696,AL,OAK,162,678,89,73,4.185185185185185,0.5493827160493827
1970,PHI,27.34023521616697,NL,PHI,161,594,73,88,3.68944099378882,0.453416149068323
1970,PIT,28.392845581094207,NL,PIT,162,729,89,73,4.5,0.5493827160493827
1970,SDN,26.941768393269548,NL,SDP,162,681,63,99,4.203703703703703,0.3888888888888889
1970,SFN,28.414180852725284,NL,SFG,162,831,86,76,5.12962962962963,0.5308641975308642
1970,SLN,28.288583175205567,NL,STL,162,744,76,86,4.592592592592593,0.4691358024691358
1970,WS2,28.776662890435347,AL,TEX,162,626,70,92,3.8641975308641974,0.43209876543209874
1971,ATL,27.818450912678834,NL,ATL,162,643,82,80,3.9691358024691357,0.5061728395061729
1971,BAL,30.242324199405743,AL,BAL,158,742,101,57,4.69620253164557,0.6392405063291139
1971,BOS,28.187168435013263,AL,BOS,162,691,85,77,4.265432098765432,0.5246913580246914
1971,CAL,28.289859906604402,AL,ANA,162,511,76,86,3.154320987654321,0.4691358024691358
1971,CHA,26.2710094480358,AL,CHW,162,617,79,83,3.808641975308642,0.4876543209876543
1971,CHN,30.837721477065738,NL,CHC,162,637,83,79,3.932098765432099,0.5123456790123457
1971,CIN,27.101456639566397,NL,CIN,162,586,79,83,3.617283950617284,0.4876543209876543
1971,CLE,27.033366700033366,AL,CLE,162,543,60,102,3.3518518518518516,0.37037037037037035
1971,DET,30.627812194326705,AL,DET,162,701,91,71,4.327160493827161,0.5617283950617284
1971,HOU,26.587582781456955,NL,HOU,162,585,79,83,3.611111111111111,0.4876543209876543
1971,KCA,27.56789913102743,AL,KCR,161,603,85,76,3.7453416149068324,0.5279503105590062
1971,LAN,29.19753289473684,NL,LAD,162,663,89,73,4.092592592592593,0.5493827160493827
1971,MIN,29.156458055925434,AL,MIN,160,654,74,86,4.0875,0.4625
1971,ML4,27.65551147145075,AL,MIL,161,534,69,92,3.3167701863354035,0.42857142857142855
1971,MON,28.92228152101401,NL,WSN,162,622,71,90,3.8395061728395063,0.4409937888198758
1971,NYA,28.609988500082142,AL,NYY,162,648,82,80,4.0,0.5061728395061729
1971,NYN,27.313126334811894,NL,NYM,162,588,83,79,3.6296296296296298,0.5123456790123457
1971,OAK,27.091310751104565,AL,OAK,161,691,101,60,4.291925465838509,0.6273291925465838
1971,PHI,26.742315238718117,NL,PHI,162,558,67,95,3.4444444444444446,0.41358024691358025
1971,PIT,28.29320045008841,NL,PIT,162,788,97,65,4.864197530864198,0.5987654320987654
1971,SDN,26.629445964432286,NL,SDP,161,486,61,100,3.018633540372671,0.37888198757763975
1971,SFN,27.619001454192922,NL,SFG,162,706,90,72,4.3580246913580245,0.5555555555555556
1971,SLN,29.049222382555715,NL,STL,163,739,90,72,4.533742331288344,0.5555555555555556
1971,WS2,28.241565452091766,AL,TEX,159,537,63,96,3.3773584905660377,0.39622641509433965
1972,ATL,27.75828658847527,NL,ATL,155,628,70,84,4.051612903225807,0.45454545454545453
1972,BAL,28.996970237034397,AL,BAL,154,519,80,74,3.3701298701298703,0.5194805194805194
1972,BOS,29.31693895098882,AL,BOS,155,640,85,70,4.129032258064516,0.5483870967741935
1972,CAL,29.7209761349363,AL,ANA,155,454,75,80,2.9290322580645163,0.4838709677419355
1972,CHA,27.385105253847513,AL,CHW,154,566,87,67,3.675324675324675,0.564935064935065
1972,CHN,30.61686214516403,NL,CHC,156,685,85,70,4.391025641025641,0.5483870967741935
1972,CIN,27.820815089255643,NL,CIN,154,707,95,59,4.590909090909091,0.6168831168831169
1972,CLE,26.10974322898347,AL,CLE,156,472,72,84,3.0256410256410255,0.46153846153846156
1972,DET,31.670090313440767,AL,DET,156,558,86,70,3.576923076923077,0.5512820512820513
1972,HOU,27.6033367381682,NL,HOU,153,708,84,69,4.627450980392157,0.5490196078431373
1972,KCA,28.130608002771524,AL,KCR,154,580,76,78,3.7662337662337664,0.4935064935064935
1972,LAN,28.90865301909513,NL,LAD,155,584,85,70,3.767741935483871,0.5483870967741935
1972,MIN,27.79965367965368,AL,MIN,154,537,77,77,3.487012987012987,0.5
1972,ML4,26.900972590627763,AL,MIL,156,493,65,91,3.16025641025641,0.4166666666666667
1972,MON,27.53879838850937,NL,WSN,156,513,70,86,3.2884615384615383,0.44871794871794873
1972,NYA,28.959433467389402,AL,NYY,155,557,79,76,3.5935483870967744,0.5096774193548387
1972,NYN,27.949801621528376,NL,NYM,156,528,83,73,3.3846153846153846,0.532051282051282
1972,OAK,27.970588235294116,AL,OAK,155,604,93,62,3.8967741935483873,0.6
1972,PHI,26.52597963058864,NL,PHI,156,503,59,97,3.2243589743589745,0.3782051282051282
1972,PIT,28.62556542134361,NL,PIT,155,691,96,59,4.458064516129032,0.6193548387096774
1972,SDN,25.2095406360424,NL,SDP,153,488,58,95,3.189542483660131,0.3790849673202614
1972,SFN,25.794787711425613,NL,SFG,155,662,69,86,4.2709677419354835,0.44516129032258067
1972,SLN,28.14761414349468,NL,STL,156,568,75,81,3.641025641025641,0.4807692307692308
1972,TEX,26.611150822015727,AL,TEX,154,461,54,100,2.9935064935064934,0.35064935064935066
1973,ATL,28.427915809463524,NL,ATL,162,799,76,85,4.932098765432099,0.4720496894409938
1973,BAL,28.520312251075353,AL,BAL,162,754,97,65,4.654320987654321,0.5987654320987654
1973,BOS,30.13421948451937,AL,BOS,162,738,89,73,4.555555555555555,0.5493827160493827
1973,CAL,30.37879533891351,AL,ANA,162,629,79,83,3.882716049382716,0.4876543209876543
1973,CHA,26.692408807098257,AL,CHW,162,652,77,85,4.0246913580246915,0.47530864197530864
1973,CHN,31.049374478732275,NL,CHC,161,614,77,84,3.813664596273292,0.4782608695652174
1973,CIN,28.199807259877932,NL,CIN,162,741,99,63,4.574074074074074,0.6111111111111112
1973,CLE,25.250244379276637,AL,CLE,162,680,71,91,4.197530864197531,0.4382716049382716
1973,DET,32.52932479053721,AL,DET,162,642,85,77,3.962962962962963,0.5246913580246914
1973,HOU,28.318945634266885,NL,HOU,162,681,82,80,4.203703703703703,0.5061728395061729
1973,KCA,28.139598393574296,AL,KCR,162,755,88,74,4.660493827160494,0.5432098765432098
1973,LAN,27.454413191076625,NL,LAD,162,675,95,66,4.166666666666667,0.5900621118012422
1973,MIN,28.426075909163092,AL,MIN,162,738,81,81,4.555555555555555,0.5
1973,ML4,26.115958481998053,AL,MIL,162,708,74,88,4.37037037037037,0.4567901234567901
1973,MON,28.34273142112125,NL,WSN,162,668,79,83,4.1234567901234565,0.4876543209876543
1973,NYA,30.50472088785821,AL,NYY,162,641,80,82,3.95679012345679,0.49382716049382713
1973,NYN,28.59081902245707,NL,NYM,161,608,82,79,3.7763975155279503,0.5093167701863354
1973,OAK,28.689660743134088,AL,OAK,162,758,94,68,4.679012345679013,0.5802469135802469
1973,PHI,27.064098360655738,NL,PHI,162,642,71,91,3.962962962962963,0.4382716049382716
1973,PIT,27.41100376616997,NL,PIT,162,704,80,82,4.345679012345679,0.49382716049382713
1973,SDN,25.36924898511502,NL,SDP,162,548,60,102,3.382716049382716,0.37037037037037035
1973,SFN,26.07114050653331,NL,SFG,162,739,88,74,4.561728395061729,0.5432098765432098
1973,SLN,27.53580814717477,NL,STL,162,643,81,81,3.9691358024691357,0.5
1973,TEX,27.003790375741595,AL,TEX,162,619,57,105,3.8209876543209877,0.35185185185185186
1974,ATL,28.50842787682334,NL,ATL,163,661,88,74,4.0552147239263805,0.5432098765432098
1974,BAL,29.32299447872686,AL,BAL,162,659,91,71,4.067901234567901,0.5617283950617284
1974,BOS,28.14959349593496,AL,BOS,162,696,84,78,4.296296296296297,0.5185185185185185
1974,CAL,28.09961685823755,AL,ANA,163,618,68,94,3.791411042944785,0.41975308641975306
1974,CHA,27.3433901054339,AL,CHW,163,684,80,80,4.196319018404908,0.5
1974,CHN,27.712324393358877,NL,CHC,162,669,66,96,4.12962962962963,0.4074074074074074
1974,CIN,28.222874365482234,NL,CIN,163,776,98,64,4.7607361963190185,0.6049382716049383
1974,CLE,26.17994298172061,AL,CLE,162,662,77,85,4.08641975308642,0.47530864197530864
1974,DET,30.86941467436109,AL,DET,162,620,72,90,3.8271604938271606,0.4444444444444444
1974,HOU,27.251283750207058,NL,HOU,162,653,81,81,4.030864197530864,0.5
1974,KCA,27.95472853230224,AL,KCR,162,667,77,85,4.117283950617284,0.47530864197530864
1974,LAN,27.56147934678194,NL,LAD,162,798,102,60,4.925925925925926,0.6296296296296297
1974,MIN,28.61237576146201,AL,MIN,163,673,82,80,4.128834355828221,0.5061728395061729
1974,ML4,26.991547895260194,AL,MIL,162,647,76,86,3.993827160493827,0.4691358024691358
1974,MON,28.350098619329387,NL,WSN,161,662,79,82,4.111801242236025,0.4906832298136646
